ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
16551	-70.125	4.375	Orinoquia oriental	VICHADA	CUMARIBO	62.5	45.2	34.2	35.1	35.5	25
16552	-70.075	4.375	Orinoquia oriental	VICHADA	CUMARIBO	61	49	30.4	35.9	38.5	29.5
16553	-70.025	4.375	Orinoquia oriental	VICHADA	CUMARIBO	57.8	48.3	31.1	36.9	37.5	31.4
16554	-69.975	4.375	Orinoquia oriental	VICHADA	CUMARIBO	57	48.2	30	31	39.3	32.3
16555	-69.925	4.375	Orinoquia oriental	VICHADA	CUMARIBO	58.1	49.3	27	33.4	32.9	35.7
16556	-69.875	4.375	Orinoquia oriental	VICHADA	CUMARIBO	56.3	55.1	27.4	34.2	26.7	38
16557	-69.825	4.375	Orinoquia oriental	VICHADA	CUMARIBO	61.4	56.4	28.8	31.1	29	34.8
16558	-69.775	4.375	Orinoquia oriental	VICHADA	CUMARIBO	63.5	48.9	27.9	27.5	22.7	33.5
16559	-69.725	4.375	Orinoquia oriental	VICHADA	CUMARIBO	67.4	48.9	27.9	31.3	23.2	30.8
16560	-69.675	4.375	Orinoquia oriental	VICHADA	CUMARIBO	68.4	46.9	27.4	33.7	26	29.3
16561	-69.625	4.375	Orinoquia oriental	VICHADA	CUMARIBO	71.2	45.5	29.1	37.3	24.3	30.8
16562	-69.575	4.375	Orinoquia oriental	VICHADA	CUMARIBO	73.8	48.6	32.3	41.2	17.4	31.9
16563	-69.525	4.375	Orinoquia oriental	VICHADA	CUMARIBO	74.8	46.7	26.6	40.4	24.5	32.6
16564	-69.475	4.375	Orinoquia oriental	VICHADA	CUMARIBO	74.2	42.9	28	41.9	24.8	31.5
16565	-69.425	4.375	Orinoquia oriental	VICHADA	CUMARIBO	71.9	45.2	25.3	46.5	29.5	32.7
16566	-69.375	4.375	Orinoquia oriental	VICHADA	CUMARIBO	60.8	44.8	27.4	48.1	32.5	36.5
16567	-69.325	4.375	Orinoquia oriental	VICHADA	CUMARIBO	61.2	45.6	26.7	42.1	31.9	36.1
