ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
3896	-74.625	8.425	Sinú - San Jorge - Porce	SUCRE	GUARANDA	14.1	10.4	38.4	39.9	12.4	44.1
3897	-74.575	8.425	Sinú - San Jorge - Porce	SUCRE	GUARANDA	14.6	10.5	38.7	43.8	15.7	47.4
3898	-74.525	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	15.5	11.5	41.2	46.9	17.2	48.6
3899	-74.475	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	15.8	10.8	43.2	42.9	15.5	44.6
3900	-74.425	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	15.6	10.6	41.3	41	17.7	48.6
3901	-74.375	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	16.2	10.4	40.8	41.7	17.4	50
3902	-74.325	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	15.7	10.3	42.2	42.9	16.1	49.2
3903	-74.275	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	17.4	10	43.9	43.2	20.1	48.9
3904	-74.225	8.425	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	21.4	10.2	40.5	36.5	13.5	43.3
3905	-74.175	8.425	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	21.1	9.8	39.9	33.6	13.5	39
3906	-74.125	8.425	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	21	9.7	41.3	29.9	14.7	39.8
3907	-74.075	8.425	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	20.3	10.7	40	31.4	15.2	39.8
3908	-74.025	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	19.3	11	38.9	29	15.9	41.9
3909	-73.975	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	21.1	11.1	38.7	25.8	13.3	35
3910	-73.925	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	22.2	10.8	39.9	25	18.9	39.8
3911	-73.875	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	22	11.3	42.3	26.4	22.6	39.5
3912	-73.825	8.425	Sinú - San Jorge - Porce	BOLÍVAR	MORALES	16.6	9.8	44	25.4	23.1	40.9
3913	-73.775	8.425	Sogamoso - Lebrija - altiplano	BOLÍVAR	RÍO VIEJO	15.6	39	42.5	30.6	43.7	26.5
3914	-73.725	8.425	Sogamoso - Lebrija - altiplano	CESAR	GAMARRA	14.7	52.8	45.9	29.7	42.1	27.2
3915	-73.675	8.425	Sogamoso - Lebrija - altiplano	CESAR	GAMARRA	15.3	55.5	46.3	30.2	42.7	27.1
3916	-73.625	8.425	Sogamoso - Lebrija - altiplano	CESAR	GAMARRA	14.1	48.1	44	30.7	43	26.3
3917	-73.575	8.425	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	13.4	45	43.3	30.4	37.9	24.7
3918	-73.525	8.425	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	20.2	44.6	43.1	29.4	36.8	23.2
3919	-73.475	8.425	Sogamoso - Lebrija - altiplano	NORTE DE SANTANDER	EL CARMEN	24.6	48.6	43.3	28.2	36.3	21.5
3920	-73.425	8.425	Catatumbo	NORTE DE SANTANDER	EL CARMEN	37.3	45.6	34.8	32.6	23.5	26.5
3921	-73.375	8.425	Catatumbo	CESAR	GONZÁLEZ	34.4	46.6	31.5	30.2	22.7	27.5
3922	-73.325	8.425	Catatumbo	NORTE DE SANTANDER	TEORAMA	35	47.6	31	24.6	22	27.3
3923	-73.275	8.425	Catatumbo	NORTE DE SANTANDER	TEORAMA	33.2	43.9	31.1	26.6	21.6	25.3
3924	-73.225	8.425	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	35.3	47.5	37.9	35.1	21.4	29.1
3925	-73.175	8.425	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	35.7	48.5	38.5	34.5	22.5	29.5
3926	-73.125	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	38.5	44.1	36.2	29.6	20.4	32
3927	-73.075	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	39	43.1	33.9	30.3	21.7	32.4
3928	-73.025	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	35.2	40.8	32.5	37	24.4	34.2
3929	-72.975	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	38.6	46	45.2	39.8	29.6	34.7
3930	-72.925	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	39.9	44.3	45	41.7	31.7	31.3
3931	-72.875	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	38.2	38	38.9	45.4	30.5	33.5
3932	-72.825	8.425	Catatumbo	NORTE DE SANTANDER	TIBÚ	38.6	35.5	34.9	47.2	27.1	34.9
3933	-72.775	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	38.2	34.3	29	51.9	34.2	38.4
3934	-72.725	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	40.8	35.7	39.5	53.5	35.3	44.3
3935	-72.675	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	38.1	35	40.5	48.3	33.5	42.8
3936	-72.625	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	36.6	33.4	39.3	44.9	34.5	37.8
3937	-72.575	8.425	Catatumbo	NORTE DE SANTANDER	TIBÚ	39.6	31.8	33.6	39.1	32.7	32.6
3938	-72.525	8.425	Catatumbo	NORTE DE SANTANDER	TIBÚ	39.8	32.3	33.1	34.3	28.6	32.1
3939	-72.475	8.425	Catatumbo	NORTE DE SANTANDER	SAN JOSÉ DE CÚCUTA	40.2	32.7	40	30.9	34.1	31.6
3940	-77.375	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	21	7.3	36.5	25.8	56.2	50.4
3941	-77.325	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	22.2	6.8	36.6	29.9	56.7	52.8
3942	-77.275	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	21.2	6.6	36.3	29	64.7	55.2
3943	-77.225	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	22.8	7.2	32.9	26.8	55.1	51.1
3944	-77.175	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	22	7.3	33.5	27.2	62.2	54
3945	-77.125	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	20.4	7	35.1	32.1	65.7	53.7
3946	-76.775	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	21	8.1	34.9	28.7	62.2	46.7
3947	-76.725	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	21.8	8.6	30.9	29.8	30.9	37.1
3948	-76.675	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	22.2	9	29.2	30.1	24.5	39.6
3949	-76.625	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	20.6	8.8	26.8	26.8	19.9	39.2
3950	-76.575	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	TURBO	21.2	8.2	30.6	28.4	18.8	39.7
3951	-76.525	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	TURBO	21.4	8.4	25.9	28.9	22.9	37.7
3952	-76.475	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	23.6	7.9	25.5	26.7	19.6	38
3953	-76.425	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	TURBO	22.7	8	27.4	28	14.7	32.5
3954	-76.375	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	21.9	7.8	27	25.7	15.5	33.4
3955	-76.325	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	19.9	7.8	25.5	25.6	14.7	31.7
3956	-76.275	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	21.5	7.8	26.1	31.8	16.4	32.3
3957	-76.225	8.375	Sinú - San Jorge - Porce	CÓRDOBA	VALENCIA	22.9	7.9	26.4	24.7	15.8	32.3
3958	-76.175	8.375	Sinú - San Jorge - Porce	CÓRDOBA	VALENCIA	20.1	9.3	26.1	25.6	15.3	30.7
3959	-76.125	8.375	Sinú - San Jorge - Porce	CÓRDOBA	VALENCIA	17.3	10.3	26.3	24.9	14.8	28.9
3960	-76.075	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	16.3	10.4	23.3	26	12.2	25.1
3961	-76.025	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	12.9	10.4	24.9	24.8	13.5	24.2
3962	-75.975	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.5	11.3	23.1	24.7	16.6	23.7
3963	-75.925	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.2	10.4	21.3	25.1	16.2	23.2
3964	-75.875	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.4	11.1	23.6	24	14.3	28
3965	-75.825	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	12.5	10.5	21.6	26	13.4	28.5
3966	-75.775	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	12.7	10.4	22.1	29.1	10.9	24.7
3967	-75.725	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.3	10.9	26	31.5	15.7	27.2
3968	-75.675	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.1	11.1	26.2	32	17	23.1
3969	-75.625	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	13	10.9	27.9	36	19.8	23.1
