ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
3803	-74.675	8.475	Sinú - San Jorge - Porce	SUCRE	MAJAGUAL	22.3	20.4	21.6	23.5	12.6	16.9
3804	-74.625	8.475	Sinú - San Jorge - Porce	SUCRE	MAJAGUAL	22.9	18	28.3	23.8	16.6	12.1
3805	-74.575	8.475	Sinú - San Jorge - Porce	SUCRE	GUARANDA	22.1	19.7	30.6	25	16.3	10.7
3806	-74.525	8.475	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	22.6	16.5	30.1	23	14.6	14.3
3807	-74.475	8.475	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	20	14.4	25.4	23.2	15	17.5
3808	-74.425	8.475	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	17.9	14.4	28.7	24.6	17.1	16.2
3809	-74.375	8.475	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	16.6	15.3	29.3	24.9	15.7	17.2
3810	-74.325	8.475	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	15.6	20	22.2	32.2	11.8	24.3
3811	-74.275	8.475	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	11.7	12.8	24.9	34.8	17.1	21.7
3812	-74.225	8.475	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	7.8	17	28.2	33.1	18	24
3813	-74.175	8.475	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	8.9	20	32.8	39.4	20.5	24.2
3814	-74.125	8.475	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	9.5	24.9	29.5	39.9	21	25.2
3815	-74.075	8.475	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	14.9	23.1	25.9	29.8	25.5	22.9
3816	-74.025	8.475	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	18.9	24.1	27.3	29.5	31.1	23.4
3817	-73.975	8.475	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	15.4	26.3	28	43.5	25.8	24.9
3818	-73.925	8.475	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	13.9	23.5	25.8	44.2	21	25.1
3819	-73.875	8.475	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	15.7	24.7	19.2	43.6	18.9	22.4
3820	-73.825	8.475	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	19	26.1	16.5	42.2	20.7	17.1
3821	-73.775	8.475	Sogamoso - Lebrija - altiplano	BOLÍVAR	RÍO VIEJO	18.8	37	16.8	36.2	26.9	18
3822	-73.725	8.475	Sogamoso - Lebrija - altiplano	CESAR	LA GLORIA	17.2	26.5	16.6	39.7	24.2	14.6
3823	-73.675	8.475	Sogamoso - Lebrija - altiplano	CESAR	LA GLORIA	15.9	20.3	16.6	31.5	25.7	17.2
3824	-73.625	8.475	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	22.1	27	16.4	36.3	24	18.7
3825	-73.575	8.475	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	26.9	34.1	13.8	26.1	26.2	22.5
3826	-73.525	8.475	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	29.7	32.6	16.1	30	24.3	25.3
3827	-73.475	8.475	Sogamoso - Lebrija - altiplano	NORTE DE SANTANDER	EL CARMEN	24	29.7	19.9	26.7	22.6	26.2
3828	-73.425	8.475	Catatumbo	NORTE DE SANTANDER	EL CARMEN	21.2	23	22.2	27.8	19.8	22.2
3829	-73.375	8.475	Catatumbo	NORTE DE SANTANDER	CONVENCIÓN	20.1	22.6	28	28	22.2	23.1
3830	-73.325	8.475	Catatumbo	NORTE DE SANTANDER	CONVENCIÓN	17.9	24.8	25.3	27.3	25.3	21.4
3831	-73.275	8.475	Catatumbo	NORTE DE SANTANDER	TEORAMA	20.6	26.2	22.3	28.5	27.3	23.9
3832	-73.225	8.475	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	24.5	20.4	19.1	27	30.5	20.4
3833	-73.175	8.475	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	21.7	18.1	19.1	29.4	32.9	21.1
3834	-73.125	8.475	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	18.9	19.3	21.3	35	34.8	20.6
3835	-73.075	8.475	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	18.8	21.3	26.3	37.4	32.8	22.6
3836	-73.025	8.475	Catatumbo	NORTE DE SANTANDER	HACARÍ	21.3	23.7	27.9	25.9	26.9	27.6
3837	-72.975	8.475	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	18.5	24.2	26.1	27.4	25.5	30.9
3838	-72.925	8.475	Catatumbo	NORTE DE SANTANDER	SARDINATA	18.9	26.3	23	27	24.6	34
3839	-72.875	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	24.4	28.8	28.9	27.5	21.7	29.4
3840	-72.825	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	27	33.9	27.7	22.9	24.3	31.7
3841	-72.775	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	25.2	30.5	24.4	15.9	20.6	24.4
3842	-72.725	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	28.7	31.7	24.9	11.5	22.8	19
3843	-72.675	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	18.2	35.9	25	13.3	26.3	17.9
3844	-72.625	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	18.4	35.5	23.5	14.4	21.6	17.7
3845	-72.575	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	17.9	35.3	28.7	22.2	27.1	17.5
3846	-72.525	8.475	Catatumbo	NORTE DE SANTANDER	TIBÚ	24.6	36.4	29.5	20.9	23.6	17.3
3847	-77.375	8.425	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	17	7.6	11.1	30.6	28.5	28.6
3848	-77.325	8.425	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	15.4	5.7	9.1	35.2	21.3	24.6
3849	-77.275	8.425	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	11.6	13	12.2	40.5	19	21.7
3850	-77.225	8.425	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	8	14.9	15.1	35	24.8	22.9
3851	-77.175	8.425	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	8.1	15.8	15.6	33.4	24.5	20.1
3852	-77.125	8.425	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	7.1	15.3	17.5	27.8	26	21.5
3853	-76.775	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	12.9	13.8	24.7	27.5	14.4	22.6
3854	-76.725	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	14.8	13.9	24.6	20.7	30.5	13.8
