ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
30673	-74.675	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	3	1
30674	-74.625	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	3	1
30675	-74.575	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	3	1
30676	-74.525	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	3	1
30677	-74.475	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	1	1
30678	-74.425	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	3	1	1
30679	-74.375	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	3	1	1
30680	-74.325	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	1	1
30681	-74.275	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	1	1
30682	-74.225	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	1	1
30683	-74.175	0.875	Norte Amazonia	CAQUETÁ	CARTAGENA DEL CHAIRÁ	3	1	1	1	1	1
30684	-74.125	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30685	-74.075	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30686	-74.025	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30687	-73.975	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30688	-73.925	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30689	-73.875	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30690	-73.825	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30691	-73.775	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30692	-73.725	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30693	-73.675	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	1	1
30694	-73.625	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	3	1
30695	-73.575	0.875	Norte Amazonia	CAQUETÁ	SAN VICENTE DEL CAGUÁN	3	1	1	1	3	1
30696	-73.525	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30697	-73.475	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	3	1
30698	-73.425	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	3	1
30699	-73.375	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	2	3	1
